Номер;Редакция бюджета;Наименование дохода;"Сумма, тыс. руб";"Сумма, %"
1;Первоначально утвержденный бюджет 2016 г.;ИТОГО;432944351.2;100.0
2;Первоначально утвержденный бюджет 2016 г.;Налог на прибыль организаций;108350654.4;25.0
3;Первоначально утвержденный бюджет 2016 г.;Налог на доходы физических лиц;189634119.6;43.8
4;Первоначально утвержденный бюджет 2016 г.;Акцизы;22094617.0;5.1
5;Первоначально утвержденный бюджет 2016 г.;Налоги на совокупный доход;14723835.8;3.4
6;Первоначально утвержденный бюджет 2016 г.;Налог на имущество организаций;27814155.2;6.4
7;Первоначально утвержденный бюджет 2016 г.;Транспортный налог;10650319.0;2.5
8;Первоначально утвержденный бюджет 2016 г.;Земельный налог;5241312.9;1.2
9;Первоначально утвержденный бюджет 2016 г.;Государственная пошлина;1455338.2;0.3
10;Первоначально утвержденный бюджет 2016 г.;"Доходы от использования имущества, находящегося в государственной и муниципальной собственности";16940506.7;3.9
11;Первоначально утвержденный бюджет 2016 г.;Платежи при пользовании природными ресурсами;447693.7;0.1
12;Первоначально утвержденный бюджет 2016 г.;Доходы от оказания платных услуг и компенсации затрат государства;3424484.1;0.8
13;Первоначально утвержденный бюджет 2016 г.;Доходы от продажи материальных и нематериальных активов;11515106.1;2.7
14;Первоначально утвержденный бюджет 2016 г.;Административные платежи и сборы;2424.4;0.0
15;Первоначально утвержденный бюджет 2016 г.;"Штрафы, санкции, возмещение ущерба";2671187.4;0.6
16;Первоначально утвержденный бюджет 2016 г.;Безвозмездные поступления;17841163.3;4.1
